id,width,length,height,weight
408,30,215,494,486
409,454,155,249,3
410,239,278,146,529
411,56,438,387,620
412,195,494,439,862
413,319,206,5,105
414,261,126,120,967
415,128,472,288,35
416,294,221,118,652
417,148,464,401,339
418,68,28,408,92
419,412,112,142,680
420,387,99,203,992
421,252,344,124,881
422,28,170,123,198
423,237,448,257,32
424,186,216,413,176
425,227,348,34,384
426,41,112,372,564
427,476,480,173,609
428,1,200,288,858
429,485,328,105,863
430,246,346,69,878
431,470,65,498,464
432,468,245,345,74
433,12,195,133,835
434,352,236,140,871
435,169,79,473,494
436,463,159,76,877
437,200,358,79,83
438,367,57,15,407
439,497,367,164,274
440,91,417,29,899
441,409,279,463,819
442,495,162,419,334
443,155,341,489,711
444,25,50,374,54
445,339,65,356,693
446,73,48,258,640
447,367,41,141,83
448,157,416,136,143
449,425,92,116,692
450,271,352,374,55
451,192,397,62,699
452,470,434,414,632
453,9,221,327,228
454,468,491,306,783
455,40,259,118,914
456,198,130,197,542
457,306,344,375,248
458,481,227,389,783
459,157,474,442,456
460,372,26,120,218
461,39,104,159,49
462,194,361,203,953
463,55,56,389,757
464,476,244,175,490
465,17,323,41,706
466,126,30,198,33
467,442,177,38,316
468,339,220,37,509
469,53,249,88,631
470,101,127,453,360
471,69,367,68,273
472,379,337,330,790
473,157,39,127,722
474,470,94,111,726
475,236,84,151,534
476,42,52,180,475
477,324,222,271,197
478,183,500,291,497
479,103,366,27,57
480,170,352,122,569
481,24,92,287,754
482,231,313,259,874
483,309,27,245,956
484,409,244,2,830
485,295,155,162,817
486,254,52,297,397
487,244,97,256,49
488,358,196,321,265
489,15,183,486,79
490,352,14,173,611
491,14,11,68,425
492,177,468,479,207
493,31,205,356,534
494,157,33,474,148
495,188,197,357,476
496,500,137,274,688
497,370,332,359,601
498,276,169,486,583
499,86,76,348,904
500,121,68,499,874
501,313,113,185,937
502,43,258,355,30
503,251,263,379,384
504,347,65,401,963
505,266,9,470,149
506,89,68,213,561
507,188,316,410,169
508,318,392,494,160
509,492,265,279,694
510,237,3,95,492
511,315,474,393,124
512,29,201,485,155
513,95,246,177,915
514,63,33,118,182
515,219,113,278,66
516,434,460,356,160
517,457,293,374,342
518,149,290,198,152
519,227,440,211,167
520,356,252,173,921
521,286,1,411,263
522,160,47,62,130
523,119,408,163,319
524,79,254,342,108
525,19,218,179,532
526,65,138,440,768
527,169,304,246,553
528,416,268,294,672
529,35,164,356,863
530,243,219,193,323
531,165,133,407,744
532,470,392,395,156
533,211,331,434,805
534,371,373,38,508
535,102,417,345,884
536,288,191,437,873
537,31,177,373,388
538,6,345,349,564
539,210,427,489,608
540,225,251,367,156
541,432,357,10,783
542,189,184,74,160
543,194,189,347,638
544,303,174,427,504
545,107,269,38,181
546,413,249,185,408
547,494,395,164,855
548,38,331,187,656
549,287,2,321,949
550,103,69,3,398
551,48,162,479,592
552,145,83,145,194
553,150,221,98,750
554,102,187,363,123
555,293,57,297,364
556,10,422,286,35
557,26,160,57,96
558,338,88,23,970
559,46,224,287,438
560,88,466,186,647
561,495,416,482,527
562,277,213,83,252
563,259,408,37,191
564,342,327,298,144
565,245,417,440,457
566,291,331,404,880
567,308,418,285,95
568,87,112,82,43
569,440,57,237,603
570,246,50,116,19
571,387,402,224,548
572,381,433,403,283
573,409,25,393,794
574,228,11,213,202
575,123,13,187,125
576,217,77,81,942
577,443,265,344,494
578,341,369,399,299
579,421,458,482,817
580,50,260,212,763
581,314,132,245,103
582,107,334,476,311
583,180,352,349,712
584,281,417,63,480
585,498,280,260,837
586,480,113,236,273
587,306,476,236,509
588,149,265,204,93
589,4,316,279,98
590,299,66,61,697
591,242,391,482,751
592,254,210,203,408
593,462,55,202,448
594,400,369,180,656
595,149,477,499,936
596,468,480,243,358
597,490,422,472,839
598,57,180,183,84
599,3,409,483,350
600,169,218,350,515
601,215,24,7,789
602,254,236,435,853
603,218,274,120,237
604,142,445,155,790
605,91,375,166,412
606,110,294,184,585
607,248,172,120,965
608,435,118,210,89
609,291,74,196,930
610,448,352,149,577
611,92,306,414,506
612,485,238,369,458
613,317,363,182,796
614,368,226,39,670
615,324,279,285,599
616,481,447,47,32
617,234,324,462,309
618,478,18,487,709
619,183,368,452,481
620,467,182,110,352
621,45,137,390,833
622,320,459,210,104
623,327,110,241,6
624,165,244,385,439
625,6,4,401,324
626,242,26,196,242
627,14,442,37,700
628,99,420,83,28
629,198,238,317,113
630,49,281,83,586
631,450,377,235,397
632,104,315,179,564
633,226,171,260,169
634,436,423,476,61
635,165,136,209,312
636,323,203,412,210
637,286,264,260,485
638,398,15,152,306
639,290,429,256,984
640,420,56,463,141
641,322,155,47,126
642,26,156,234,918
643,59,335,19,960
644,87,115,448,858
645,90,372,39,694
646,448,157,137,267
647,266,430,332,968
648,34,56,119,799
649,415,454,109,232
650,167,84,96,174
651,256,18,274,921
652,141,233,107,722
653,223,86,379,356
654,432,126,243,267
655,80,372,247,506
656,471,308,132,393
657,41,428,374,211
658,285,427,234,993
659,262,473,434,365
660,388,104,161,129
661,245,89,161,535
662,168,63,106,129
663,133,417,394,178
664,419,251,177,921
665,190,296,177,70
666,176,16,330,134
667,435,82,98,430
668,444,384,64,718
669,500,102,321,439
670,92,124,279,766
671,308,465,472,792
672,227,485,460,107
673,345,225,101,651
674,451,401,52,244
675,470,314,53,71
676,460,444,293,457
677,362,284,150,805
678,261,336,135,200
679,181,206,289,155
680,397,356,62,649
681,221,89,244,352
682,53,57,413,997
683,308,65,363,857
684,337,446,314,804
685,349,160,1,426
686,15,180,472,519
687,349,352,115,35
688,199,271,47,956
689,284,483,380,914
690,464,305,272,572
691,420,96,355,616
692,192,198,241,596
693,360,244,75,525
694,31,396,287,968
695,484,170,157,584
696,371,223,465,25
697,57,392,168,113
698,50,238,97,796
699,363,8,188,294
700,198,499,40,140
701,123,152,159,785
702,352,230,17,4
703,331,318,437,289
704,449,76,396,494
705,165,81,93,661
706,112,82,34,417
707,6,372,135,558
708,444,412,334,50
709,422,404,293,369
710,26,69,114,924
711,444,398,87,344
712,90,60,225,609
713,7,485,192,770
714,473,141,271,34
715,455,394,229,999
716,210,261,112,318
717,231,183,181,769
718,11,284,244,298
719,242,405,142,499
720,376,335,241,840
721,139,386,451,563
722,129,202,103,852
723,115,40,2,598
724,234,240,85,49
725,398,22,69,486
726,481,459,257,216
727,207,82,471,200
728,299,152,73,839
729,110,465,435,218
730,246,288,413,133
731,346,338,432,632
732,235,286,397,464
733,167,156,91,953
734,183,44,94,270
735,375,219,95,343
736,90,121,270,467
737,11,395,336,965
738,494,346,389,280
739,120,87,416,691
740,36,156,177,829
741,319,251,210,374
742,294,366,449,244
743,360,306,371,777
744,227,381,430,674
745,420,187,18,805
746,425,375,115,863
747,339,245,218,73
748,23,274,335,422
749,342,438,472,327
750,255,495,306,40
751,469,119,467,149
752,284,289,499,883
753,352,302,199,876
754,152,190,327,164
755,410,11,132,57
756,43,485,199,634
757,11,147,48,912
758,297,88,387,757
759,137,379,404,691
760,416,175,109,311
761,86,460,490,366
762,343,405,114,201
763,308,11,177,409
764,300,124,159,82
765,102,173,420,910
766,477,24,20,39
767,302,459,409,100
768,441,429,218,639
769,283,356,434,350
770,311,170,41,90
771,100,359,6,829
772,344,194,359,525
773,253,464,5,560
774,55,306,479,678
775,206,26,93,147
776,491,428,453,257
777,301,219,244,693
778,296,70,488,361
779,353,121,287,141
780,412,432,97,834
781,62,357,114,703
782,320,431,57,460
783,289,488,184,971
784,210,243,38,12
785,3,266,80,958
786,180,341,100,51
787,359,21,156,268
788,180,383,175,365
789,479,210,266,753
790,79,114,437,65
791,395,82,74,589
792,22,110,19,386
793,495,149,174,636
794,214,167,449,393
795,166,107,443,85
796,15,330,103,354
797,259,265,224,186
798,466,429,303,109
799,255,62,390,933
800,154,54,102,829
801,282,404,427,609
802,240,229,390,408
803,398,257,346,68
804,456,387,46,55
805,184,446,115,688
806,490,190,369,919
807,292,167,173,592
808,402,391,6,265
809,246,49,392,499
810,380,390,447,471
811,107,427,438,465
812,5,268,110,856
813,440,175,19,374
814,275,259,361,669
815,65,199,324,789
816,324,32,101,796
817,400,424,190,888
818,172,309,453,902
819,320,153,410,823
820,174,416,269,847
821,91,471,434,143
822,182,431,469,610
823,384,322,206,731
824,417,151,428,629
825,347,273,187,344
826,459,231,340,35
827,295,359,288,35
828,450,227,226,148
829,123,129,484,396
830,340,321,411,28
831,38,461,99,598
832,79,318,231,810
833,401,131,49,739
834,338,220,326,949
835,84,60,110,105
836,150,93,319,886
837,55,231,26,771
838,463,269,225,733
839,215,330,318,581
840,419,499,470,393
841,365,388,81,778
842,142,475,121,594
843,192,253,337,521
844,103,395,99,948
845,400,127,345,534
846,496,125,431,985
847,123,8,470,674
848,65,293,198,711
849,401,189,316,859
850,118,215,195,616
851,474,111,483,669
852,27,255,233,897
853,313,61,33,918
854,130,83,230,206
855,49,190,171,631
856,56,320,25,289
857,86,231,178,554
858,57,30,106,647
859,419,461,361,471
860,166,48,203,450
861,180,238,441,479
862,471,3,289,487
863,321,90,167,115
864,189,59,490,366
865,397,58,406,68
866,173,200,8,318
867,329,426,422,6
868,58,78,131,879
869,189,259,500,9
870,457,407,381,929
871,362,24,62,700
872,111,447,456,54
873,365,253,335,652
874,403,201,62,815
875,59,165,325,446
876,165,174,163,428
877,405,481,292,985
878,325,124,232,680
879,162,327,383,883
880,30,380,123,351
881,285,495,234,830
882,182,234,429,454
883,179,190,195,172
884,95,345,429,53
885,87,57,378,112
886,76,371,269,620
887,21,123,334,714
888,191,393,145,107
889,217,286,409,113
890,305,311,296,659
891,389,244,335,795
892,185,143,176,85
893,437,355,267,674
894,181,355,145,527
895,326,355,36,543
896,464,43,304,530
897,147,173,220,152
898,292,70,354,661
899,61,362,95,941
900,459,13,264,361
901,291,377,53,642
902,18,496,62,609
903,210,98,58,915
904,295,335,219,64
905,309,310,369,71
906,272,66,1,354
907,452,411,237,83
908,169,298,433,558
909,102,265,139,719
910,71,1,391,780
911,396,494,261,76
912,134,42,171,406
913,469,433,10,610
914,204,355,399,408
915,286,408,330,52
916,51,360,225,31
917,92,55,336,781
918,4,469,429,456
919,203,74,444,824
920,179,421,124,66
921,276,175,498,490
922,64,83,108,37
923,356,69,217,590
924,374,49,68,104
925,176,137,230,615
926,438,79,150,53
927,99,72,481,531
928,480,213,298,536
929,474,407,430,916
930,126,326,294,395
931,386,286,145,986
932,300,135,22,689
933,2,351,202,247
934,273,229,279,238
935,272,401,209,265
936,489,47,132,14
937,322,16,319,210
938,352,425,135,72
939,143,312,495,355
940,54,466,39,919
941,177,412,49,239
942,23,205,250,715
943,208,123,296,843
944,2,382,62,47
945,342,383,269,275
946,309,130,104,176
947,286,500,412,687
948,245,15,184,945
949,131,175,166,417
950,92,430,190,365
951,260,254,488,868
952,136,376,390,216
953,478,425,104,483
954,134,124,354,399
955,123,111,129,58
956,298,88,256,178
957,108,34,130,978
958,75,8,83,258
959,446,80,371,48
960,264,209,208,955
961,213,146,61,806
962,222,428,460,3
963,190,446,286,875
964,443,147,496,38
965,28,34,289,314
966,369,281,42,564
967,316,431,146,852
968,337,19,162,772
969,116,266,384,59
970,204,47,367,407
971,305,375,83,94
972,14,380,3,219
973,290,175,371,945
974,198,390,188,316
975,187,458,155,123
976,56,84,23,694
977,487,204,52,640
978,259,496,148,653
979,418,299,78,423
980,282,281,447,847
981,62,195,268,851
982,93,490,241,449
983,39,296,255,542
984,253,429,161,490
985,109,307,500,91
986,298,23,206,442
987,460,272,325,85
988,393,447,102,544
989,49,311,26,464
990,363,425,460,329
991,232,28,255,293
992,206,177,240,505
993,444,54,383,672
994,62,30,76,173
995,156,224,136,43
996,133,218,248,779
997,41,353,132,642
998,3,168,437,582
999,444,318,233,829
1000,333,111,430,359
1001,166,322,276,999
1002,52,469,287,646
1003,409,127,274,322
1004,429,133,4,596
1005,390,385,202,908
1006,400,357,167,919
1007,293,93,102,516
1008,487,33,342,192
1009,78,460,225,178
1010,403,475,399,90
1011,125,479,129,296
1012,370,89,438,581
1013,395,263,212,185
1014,385,225,239,518
1015,50,14,280,736
1016,385,448,410,167
1017,238,388,274,628
1018,96,263,270,78
1019,93,277,7,14
1020,384,138,336,923
1021,387,300,482,602
1022,384,96,314,232
1023,88,171,446,636
1024,452,453,81,540
1025,28,318,375,639
1026,353,72,265,383
1027,379,438,83,171
1028,253,250,379,47
1029,314,85,425,810
1030,477,391,362,959
1031,313,313,198,220
1032,66,190,476,571
1033,395,375,473,641
1034,32,357,481,482
1035,235,266,243,125
1036,423,21,29,55
1037,23,463,382,384
1038,477,246,326,519
1039,210,425,222,741
1040,474,244,146,280
1041,204,185,279,822
1042,101,306,284,60
1043,401,226,243,637
1044,338,340,6,928
1045,324,321,281,722
1046,289,239,453,962
1047,353,349,354,294
1048,165,51,308,232
1049,316,121,267,69
1050,456,422,444,335
1051,115,186,147,680
1052,45,156,196,723
1053,429,69,126,262
1054,343,430,217,738
1055,334,181,428,590
1056,412,231,474,497
1057,178,262,384,666
1058,225,346,371,553
1059,177,176,440,483
1060,141,342,14,419
1061,185,449,428,303
1062,287,318,423,406
1063,487,491,405,39
1064,386,161,51,371
1065,280,316,77,407
1066,313,259,47,442
1067,129,196,233,63
1068,120,326,333,329
1069,320,99,194,556
1070,467,8,258,989
1071,346,83,123,758
1072,313,192,367,910
1073,74,53,447,800
1074,340,270,20,532
1075,215,231,398,482
1076,302,60,13,432
1077,208,402,128,102
1078,55,390,23,829
1079,181,171,421,200
1080,101,169,94,996
1081,70,22,250,306
1082,30,261,394,960
1083,67,406,217,416
1084,480,328,449,998
1085,250,114,390,161
1086,278,485,76,880
1087,43,178,130,390
1088,128,456,343,905
1089,114,293,198,409
1090,319,333,384,36
1091,243,404,396,573
1092,240,422,230,347
1093,323,24,422,678
1094,500,202,46,405
1095,377,1,484,61
1096,291,175,446,985
1097,71,58,128,123
1098,437,105,495,809
1099,267,298,37,96
1100,345,93,373,813
1101,71,155,494,733
1102,224,121,288,288
1103,319,265,326,329
1104,446,354,328,597
1105,457,76,175,379
1106,222,317,144,302
1107,410,169,86,855
1108,438,148,255,362
1109,273,452,359,466
1110,287,7,183,791
1111,118,226,312,919
1112,472,443,330,224
1113,369,204,377,638
1114,455,87,335,551
1115,324,302,425,143
1116,479,466,105,805
1117,200,219,249,380
1118,132,168,462,848
1119,137,137,4,256
1120,498,40,427,777
1121,180,488,139,823
1122,355,25,409,335
1123,480,154,239,873
1124,260,95,17,79
1125,233,253,400,511
1126,491,313,12,672
1127,400,475,258,432
1128,354,22,496,991
1129,409,445,83,731
1130,361,298,383,258
1131,51,427,205,522
1132,272,12,373,427
1133,121,325,443,543
1134,26,434,77,439
1135,97,16,258,344
1136,170,359,67,144
1137,27,450,276,537
1138,439,143,314,680
1139,401,139,390,432
1140,497,75,439,179
1141,497,469,339,505
1142,81,186,214,246
1143,324,440,15,844
1144,87,7,342,651
1145,358,43,488,25
1146,20,484,218,123
1147,328,426,424,948
1148,266,159,306,353
1149,88,2,20,550
1150,172,337,294,814
1151,378,45,330,479
1152,282,2,387,43
1153,85,47,492,290
1154,165,272,455,409
1155,197,440,175,840
1156,422,45,340,289
1157,106,355,453,582
1158,301,107,339,341
1159,460,217,306,590
1160,334,140,196,132
1161,132,279,153,447
1162,112,152,196,250
1163,305,404,46,582
1164,238,361,141,187
1165,343,81,125,443
1166,290,469,319,40
1167,42,293,373,944
1168,448,300,421,902
1169,347,472,490,601
1170,27,256,85,93
1171,368,159,472,229
1172,467,101,9,414
1173,382,376,194,958
1174,401,279,245,658
1175,342,471,257,322
1176,249,353,461,71
1177,298,297,412,911
1178,433,217,486,572
1179,101,478,190,607
1180,499,425,450,176
1181,17,381,276,141
1182,379,155,179,757
1183,382,257,188,853
1184,49,271,133,262
1185,446,25,263,429
1186,430,475,330,236
1187,110,172,132,512
1188,500,353,123,535
1189,271,317,1,168
1190,212,491,398,582
1191,258,89,61,105
1192,278,348,163,439
1193,100,477,306,207
1194,60,118,42,251
1195,408,400,71,640
1196,239,197,59,810
1197,353,304,107,930
1198,400,429,277,740
1199,226,127,144,678
1200,283,109,57,164
1201,162,32,356,931
1202,221,31,26,958
1203,71,292,193,110
1204,10,491,115,783
1205,135,152,135,48
1206,455,121,454,134
1207,219,302,70,161
1208,66,136,10,504
1209,136,239,100,397
1210,46,299,490,90
1211,114,304,473,930
1212,449,376,472,272
1213,43,11,302,601
1214,187,394,167,249
1215,394,99,360,255
1216,159,315,191,61
1217,450,139,153,299
1218,79,239,423,707
1219,52,16,332,671
1220,209,215,224,783
1221,422,482,345,296
1222,426,140,4,331
1223,345,434,381,786
1224,489,468,65,853
1225,47,333,398,539
1226,35,209,79,539
1227,179,470,45,317
1228,200,33,67,335
1229,84,34,264,341
1230,481,332,19,942
1231,141,41,352,382
1232,260,78,142,887
1233,244,221,358,902
1234,422,267,330,436
1235,177,278,267,959
1236,133,104,485,976
1237,361,126,31,646
1238,115,135,477,210
1239,139,17,359,928
1240,135,269,207,707
1241,262,341,248,749
1242,496,324,104,60
1243,240,355,323,565
1244,226,286,450,717
1245,31,60,305,972
1246,61,163,105,845
1247,350,149,426,534
1248,324,353,353,427
1249,158,337,387,618
1250,430,53,356,335
1251,459,196,170,265
1252,399,65,462,992
1253,77,235,298,554
1254,194,107,205,85
1255,318,127,464,235
1256,469,182,330,358
1257,112,44,313,42
1258,471,435,163,286
1259,305,403,88,676
1260,489,327,41,788
1261,147,413,349,672
1262,36,81,361,375
1263,277,8,27,356
1264,415,206,241,232
1265,92,276,69,336
1266,44,218,187,809
1267,303,197,477,360
1268,21,255,329,516
1269,56,150,477,325
1270,338,464,415,396
1271,343,486,177,504
1272,147,110,311,146
1273,7,289,13,579
1274,141,63,201,712
1275,316,262,52,389
1276,386,365,431,700
1277,173,485,73,504
1278,228,260,463,789
1279,80,240,108,490
1280,318,31,303,256
1281,483,250,130,948
1282,160,499,197,476
1283,424,105,117,326
1284,15,251,102,484
1285,338,186,303,447
1286,247,70,330,252
1287,12,93,91,993
1288,362,418,254,642
1289,178,72,375,941
1290,457,451,38,679
1291,265,171,402,246
1292,238,493,385,662
1293,36,403,86,300
1294,319,320,468,5
1295,89,388,483,29
1296,271,120,122,865
1297,431,281,228,576
1298,9,466,276,496
1299,347,56,437,839
1300,275,179,416,306
1301,218,83,88,386
1302,56,213,253,630
1303,256,249,70,862
1304,88,422,461,840
1305,191,429,306,604
1306,130,102,229,402
1307,411,328,429,289
1308,81,299,72,701
1309,187,489,173,325
1310,443,393,250,916
1311,357,145,177,659
1312,404,422,265,383
1313,313,371,151,577
1314,124,398,173,580
1315,420,285,390,877
1316,29,58,150,630
1317,11,468,135,858
1318,313,219,187,250
1319,99,7,54,468
1320,336,204,95,736
1321,110,421,488,258
1322,169,415,451,63
1323,107,108,489,174
1324,66,204,390,905
1325,114,384,140,695
1326,408,479,158,876
1327,147,348,93,456
1328,290,54,270,945
1329,421,327,260,516
1330,73,89,392,72
1331,81,212,261,574
1332,490,237,261,421
1333,295,46,395,647
1334,91,286,404,375
1335,394,177,104,171
1336,418,9,500,839
1337,286,434,21,155
1338,333,81,273,323
1339,40,326,315,90
1340,142,208,358,685
1341,23,388,156,922
1342,192,112,142,939
1343,463,215,61,997
1344,454,262,328,169
1345,37,330,8,700
1346,479,323,16,677
1347,51,48,26,690
1348,362,101,415,994
1349,20,47,418,221
1350,488,135,308,784
1351,101,98,150,134
1352,297,91,206,720
1353,53,422,170,2
1354,464,170,268,660
1355,407,262,138,240
1356,50,304,407,420
1357,422,280,198,32
1358,263,42,35,225
1359,308,461,41,605
1360,218,75,322,595
1361,162,161,263,151
